imo,vessel_name,Type,GT,latitude,longitude,timestamp,tloc
9451070,SEVILLA EXPRESS,Ro-Ro Ship,32000,37.110,-6.810,2024-04-15 10:00:00,1
9678342,HUELVA TANKER,Tanker,78000,37.130,-6.830,2024-04-18 08:00:00,1
9678342,HUELVA TANKER,Tanker,78000,37.140,-6.840,2024-04-18 09:00:00,1
9678342,HUELVA TANKER,Tanker,78000,37.150,-6.850,2024-04-18 10:00:00,1
9678342,HUELVA TANKER,Tanker,78000,37.160,-6.860,2024-04-18 11:00:00,1
9678342,HUELVA TANKER,Tanker,78000,37.170,-6.870,2024-04-18 12:00:00,1
9789521,CADIZ FISHER,Fishing,1200,37.130,-6.830,2024-04-22 05:00:00,1
9789521,CADIZ FISHER,Fishing,1200,37.125,-6.835,2024-04-22 06:00:00,1
9789521,CADIZ FISHER,Fishing,1200,37.120,-6.840,2024-04-22 07:00:00,1
9789521,CADIZ FISHER,Fishing,1200,37.115,-6.845,2024-04-22 08:00:00,1
9789521,CADIZ FISHER,Fishing,1200,37.110,-6.850,2024-04-22 09:00:00,1
9876543,ANDALUCIA FERRY,Ferry/Ro-Ro,18500,37.130,-6.830,2024-04-25 07:30:00,1
9876543,ANDALUCIA FERRY,Ferry/Ro-Ro,18500,37.120,-6.820,2024-04-25 08:30:00,1
9876543,ANDALUCIA FERRY,Ferry/Ro-Ro,18500,37.110,-6.810,2024-04-25 09:30:00,1
9876543,ANDALUCIA FERRY,Ferry/Ro-Ro,18500,37.100,-6.800,2024-04-25 10:30:00,1
9876543,ANDALUCIA FERRY,Ferry/Ro-Ro,18500,37.090,-6.790,2024-04-25 11:30:00,1
9769300,GRANADA EXPRESS,Cruise Ship,82000,37.130,-6.830,2024-04-29 08:30:00,1
9769300,GRANADA EXPRESS,Cruise Ship,82000,37.132,-6.840,2024-04-29 09:30:00,1
9769300,GRANADA EXPRESS,Cruise Ship,82000,37.135,-6.855,2024-04-29 10:30:00,1
9769300,GRANADA EXPRESS,Cruise Ship,82000,37.140,-6.870,2024-04-29 11:30:00,1
9769300,GRANADA EXPRESS,Cruise Ship,82000,37.150,-6.890,2024-04-29 12:30:00,1
9123456,COSTA DORADA,Cruise Ship,92000,37.130,-6.830,2024-04-03 09:00:00,1
9123456,COSTA DORADA,Cruise Ship,92000,37.140,-6.850,2024-04-03 10:00:00,1
9123456,COSTA DORADA,Cruise Ship,92000,37.150,-6.870,2024-04-03 11:00:00,1
9123456,COSTA DORADA,Cruise Ship,92000,37.160,-6.890,2024-04-03 12:00:00,1
9123456,COSTA DORADA,Cruise Ship,92000,37.170,-6.910,2024-04-03 13:00:00,1
9234567,MEDITERRANEAN CARRIER,Container Ship,65000,37.130,-6.830,2024-04-10 07:30:00,1
9234567,MEDITERRANEAN CARRIER,Container Ship,65000,37.135,-6.850,2024-04-10 08:30:00,1
9234567,MEDITERRANEAN CARRIER,Container Ship,65000,37.140,-6.870,2024-04-10 09:30:00,1
9234567,MEDITERRANEAN CARRIER,Container Ship,65000,37.145,-6.890,2024-04-10 10:30:00,1
9234567,MEDITERRANEAN CARRIER,Container Ship,65000,37.150,-6.910,2024-04-10 11:30:00,1
9345678,IBERIAN TRADER,Bulk Carrier,55000,37.130,-6.830,2024-04-20 08:00:00,1
9345678,IBERIAN TRADER,Bulk Carrier,55000,37.120,-6.820,2024-04-20 09:00:00,1
9345678,IBERIAN TRADER,Bulk Carrier,55000,37.110,-6.810,2024-04-20 10:00:00,1
9345678,IBERIAN TRADER,Bulk Carrier,55000,37.100,-6.800,2024-04-20 11:00:00,1
9345678,IBERIAN TRADER,Bulk Carrier,55000,37.090,-6.790,2024-04-20 12:00:00,1
